,mean,std
accuracy,0.9173308488080704,0.015563767963335064
precision,0.9694028052926358,0.018932608645535805
recall,0.8620725016664104,0.01960596874334112
f1,0.9124770380723808,0.01654576450798306
roc_auc,0.9614565349961778,0.011267888907705595
